"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-01",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-10",,,"0.44",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-11",,,"0.14",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-12",,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-15",,,"1.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-16",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-18",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-19",,,"0.76",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-26",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-29",,,"0.31",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-30",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-05-31",,,"0.36",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-01",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-06",,,"0.07",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-07",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-08",,,"0.33",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-10",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-11",,,"0.44",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-13",,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-14",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-24",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-25",,,"0.33",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-26",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-06-27",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-07-01",,,"0.33",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-07-16",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-07-21",,,"0.40",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-07-22",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-07-23",,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-07-24",,,"0.23",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-01",,,"1.27",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-02",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-07",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-08",,,"0.89",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-09",,,"0.82",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-10",,,"1.76",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-11",,,"0.31",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-12",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-18",,,"0.48",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-19",,,"0.10",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-20",,,"0.22",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-21",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-08-31",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-03",,,"0.07",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-04",,,"0.71",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-05",,,"0.05",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-07",,,"0.18",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-08",,,"1.42",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-09",,,"0.05",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-10",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-12",,,"0.14",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-13",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-15",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-16",,,"0.21",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-22",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-24",,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-28",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-29",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-09-30",,,"0.36",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-10-04",,,"0.79",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-10-30",,,"0.05",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-11-01",,,"0.04",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-11-07",,,"0.07",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-11-17",,,"2.12",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-11-18",,,"0.47",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-11-28",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-12-06",,,"0.16",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-12-07",,,"0.37",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-12-16",,,"0.10",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2014-12-22",,,"0.42",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-01-02",,,"0.10",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-01-12",,,"0.07",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-01-13",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-01-14",,,"0.09",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-01-16",,,"0.06",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-01-26",,,"0.07",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-02-02",,,"1.18",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-02-09",,,"0.22",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-02-10",,,"0.37",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-02-17",,,"0.88",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-02-26",,,"0.45",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-03-23",,,"0.68",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-04-03",,,"0.15",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-04-04",,,"0.60",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-04-07",,,"0.21",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-04-19",,,"0.46",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-04-20",,,"0.45",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-04-21",,,"0.02",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-06-10",,,"0.05",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-06-19",,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-06-20",,,"0.66",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-06-25",,,"0.04",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-07-02",,,"0.78",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-07-11",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-08-06",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-08-07",,,"0.44",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-08-11",,,"0.17",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-08-24",,,"0.35",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-08-31",,,"0.30",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-09-04",,,"0.13",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-09-08",,,"0.14",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-09-09",,,"0.31",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-09-10",,,"1.14",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-09-11",,,"0.34",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-09-22",,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-11-18",,,"0.03",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-11-20",,,"1.95",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-14",,,"0.05",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-22",,,"0.51",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-23",,,"0.23",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-26",,,"1.08",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-27",,,"0.00",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-28",,,"0.05",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-29",,,"1.49",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2015-12-31",,,"0.84",,,,,,,,,,,,,,,,,,,,
"US1GADK0022","DUNWOODY 1.8 WNW, GA US","2016-01-10",,,"0.35",,,,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-01",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-02",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-03",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-04",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-05",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-06",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-07",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-08",,,"0.30",,,,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-09",,,"0.01",,,,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-12",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
"US1GADK0044","CHAMBLEE 1.3 ESE, GA US","2016-01-13",,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,
