"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-01",,,,"19","15",,,,,,,,,,,"1.25",,,,"6.96",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-02",,,,"19","10",,,,,,,,,,,"0.62",,,,"3.42",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-03",,,,"19","7",,,,,,,,,,,"0.81",,,,"3.28",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-04",,,,"20","10",,,,,,,,,,,"0.56",,,,"3.30",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-05",,,,"21","11",,,,,,,,,,,"0.63",,,,"3.69",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-06",,,,"19","11",,,,,,,,,,,"0.45",,,,"2.68",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-07",,,,"4","0",,"0",,,,,,,,"0.0","0.08",,,,"0.22","0.0",,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-10",,,,"13","9",,,,,,,,,,,"1.00",,,,"4.07",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-11",,,,"23","16",,,,,,,,,,,"0.88",,,,"5.63",,,,,,,,
"US1WAKG0106","SEATTLE 6.1 NNE, WA US","2010-12",,,,"24","17",,,,,,,,,,,"2.77",,,,"9.15",,,,,,,,
"US1WAKG0107","SNOQUALMIE 2.9 WNW, WA US","2010-01",,,,"20","13",,,,,,,,,,,"1.50",,,,"6.75",,,,,,,,
"US1WAKG0107","SNOQUALMIE 2.9 WNW, WA US","2010-02",,,,"17","11",,,,,,,,,,,"0.47",,,,"2.80",,,,,,,,
"US1WAKG0107","SNOQUALMIE 2.9 WNW, WA US","2010-03",,,,"16","11",,,,,,,,,,,"1.39",,,,"6.11",,,,,,,,
"US1WAKG0107","SNOQUALMIE 2.9 WNW, WA US","2010-05",,,,"21","15",,,,,,,,,,,"0.87",,,,"6.86",,,,,,,,
"US1WAKG0107","SNOQUALMIE 2.9 WNW, WA US","2010-06",,,,"18","14",,,,,,,,,,,"0.88",,,,"4.89",,,,,,,,
"US1WAKG0107","SNOQUALMIE 2.9 WNW, WA US","2010-07",,,,"3","2",,,,,,,,,,,"0.55",,,,"0.75",,,,,,,,
